"unique_storm_number","sub_storms","suspended_sediment_mg_L","chloride_mg_L","no2_no3_n_mg_L","ammonium_n_mg_L","tkn_unfiltered_mg_L","orthophosphate_mg_L","total_phosphorus_unfiltered_mg_L","total_nitrogen_computed_mg_L","organic_nitrogen_computed_mg_L","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","suspended_sediment_flag","chloride_flag","no2_no3_flag","ammonium_n_flag","tkn_unfiltered_flag","orthophosphate_flag","total_phosphorus_unfiltered_flag","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
35,"MI-FM1-32*",363,8.6,0.05,0.04,2.83,0.04,0.997,2.9,2.8,2901.23,68.7,0.8,0.32,22.62,0.3,7.97,23.42,22.3,128025,"NA","NA","<","NA","NA","NA","NA",2016-03-28 06:39:00,2016-03-29 01:30:00,2016-03-28 04:30:00,2016-03-29 13:00:00,2.93,128025,0
36,"MI-FM1-33",536,6.8,0.05,0.03,2.89,0.04,1.1,3,2.9,4998.27,63.4,0.93,0.28,26.95,0.33,10.26,27.88,26.67,149374,"NA","NA","<","NA","NA","NA","NA",2016-03-31 14:01:00,2016-04-01 11:20:00,2016-03-31 09:00:00,2016-04-01 22:00:00,3.5,149374,0
37,"MI-FM1-34",26,7.2,0.05,0.3,0.91,0.03,0.158,1,0.6,164.34,45.5,0.63,1.9,5.75,0.19,1,6.38,3.86,101250,"NA","NA","<","NA","NA","NA","NA",2016-04-11 01:32:00,2016-04-12 04:15:00,2016-04-11 01:00:00,2016-04-12 04:15:00,2.32,101250,0
38,"MI-FM1-35",138,8.2,0.2,0.13,2.63,0.17,0.784,2.8,2.5,3.2,0.2,0.005,0.005,0.06,5e-04,0.02,0.07,0.06,374,"NA","NA","NA","NA","NA","NA","NA",2016-11-29 05:04:00,2016-11-29 07:06:00,2016-11-29 03:45:00,2016-11-29 09:15:00,0.04,374,0
39,"MI-FM1-36",23,4.1,0.5,0.12,1.07,0.08,0.235,1.6,1,100.9,18,2.19,0.53,4.69,0.35,1.03,6.89,4.17,70266,"NA","NA","NA","NA","NA","NA","NA",2016-12-26 12:03:00,2016-12-26 21:42:00,2016-12-26 11:30:00,2016-12-27 06:30:00,3.1,70266,0
40,"MI-FM1-37",72,5.7,0.4,0.04,2.53,0.08,0.796,2.9,2.5,41.2,3.3,0.23,0.02,1.45,0.05,0.46,1.68,1.42,9160,"NA","NA","NA","NA","NA","NA","NA",2017-01-03 04:17:00,2017-01-03 23:57:00,2017-01-03 04:00:00,2017-01-04 05:15:00,0.28,9160,0
41,"MI-FM1-38",116,3.3,0.1,0.11,1.66,0.12,0.473,1.8,1.6,95,2.7,0.08,0.09,1.36,0.1,0.39,1.44,1.27,13114,"NA","NA","NA","NA","NA","NA","NA",2017-01-10 21:52:00,2017-01-11 07:48:00,2017-01-10 18:15:00,2017-01-11 12:00:00,0.72,13114,1
42,"MI-FM1-1568,MI-FM1-39",355.136232566351,1.98955872586191,0.198955872586191,0.119373523551715,2.65606089902565,0.0895301426637859,0.876400618742171,2.88486015249977,2.58642634362048,2637.2,14.8,1.48,0.89,19.72,0.63,6.51,21.2,18.84,118951,"NA","NA","NA","NA","NA","NA","NA",2017-01-11 20:25:00,2017-01-12 18:01:00,2017-01-11 17:30:00,2017-01-13 10:45:00,3.71,118330,1
45,"MI-FM1-40",37,3.8,0.5,0.04,1.03,0.05,0.205,1.5,1,16.3,1.7,0.22,0.02,0.45,0.02,0.09,0.67,0.44,7049,"NA","NA","NA","NA","NA","NA","NA",2017-02-07 22:55:00,2017-02-08 09:03:00,2017-02-07 22:00:00,2017-02-08 14:45:00,0.32,7049,1
46,"MI-FM1-41",44,4.8,0.025,0.01,1.13,0.05,0.254,1.2,1.1,27.5,3,0.03,0.01,0.71,0.03,0.16,0.74,0.7,10016,"NA","NA","<","NA","NA","NA","NA",2017-02-12 14:11:00,2017-02-13 03:11:00,2017-02-12 12:45:00,2017-02-13 04:15:00,0.26,10016,1
49,"MI-FM1-42",430,5.7,0.025,0.09,3.02,0.03,0.986,3.1,2.9,1216.3,16.1,0.14,0.25,8.54,0.08,2.79,8.68,8.29,45311,"NA","NA","<","NA","NA","NA","NA",2017-02-24 22:24:00,2017-02-25 08:13:00,2017-02-24 21:15:00,2017-02-25 14:45:00,2.3,45311,0
50,"MI-FM1-43",181,7.5,0.025,0.03,1.82,0.04,0.576,1.9,1.8,1856.9,76.9,0.51,0.31,18.67,0.37,5.91,19.18,18.36,164331,"NA","NA","<","NA","NA","NA","NA",2017-03-01 23:00:00,2017-03-02 01:17:00,2017-02-28 23:00:00,2017-03-02 10:00:00,2.51,164331,0
53,"MI-FM1-45",56,7.1,0.025,0.05,2.05,0.05,0.482,2.1,2,58.7,7.4,0.05,0.05,2.15,0.06,0.51,2.2,2.1,16802,"NA","NA","<","NA","NA","NA","NA",2017-03-26 14:25:00,2017-03-26 22:03:00,2017-03-26 11:30:00,2017-03-27 03:45:00,0.71,16802,0
54,"MI-FM1-46",64,6.5,0.025,0.02,1.14,0.03,0.242,1.2,1.1,603.2,61.3,0.47,0.19,10.74,0.27,2.28,11.22,10.56,150974,"NA","NA","<","NA","NA","NA","NA",2017-03-30 12:02:00,2017-03-31 13:21:00,2017-03-30 08:15:00,2017-03-31 23:15:00,2.43,150974,0
55,"MI-FM1-47",147,4.7,0.025,0.03,1.82,0.03,0.413,1.9,1.8,295.7,9.5,0.1,0.06,3.66,0.05,0.83,3.76,3.6,32221,"NA","NA","<","NA","NA","NA","NA",2017-04-03 22:54:00,2017-04-04 15:46:00,2017-04-03 21:30:00,2017-04-04 20:30:00,1.34,32221,0
56,"MI-FM1-48",80,4.5,0.4,0.03,1.09,0.03,0.267,1.5,1.1,4810.4,270.6,24.05,1.8,65.54,2.04,16.05,89.59,63.74,963189,"NA","NA","NA","NA","NA","NA","NA",2017-04-06 00:53:00,2017-04-07 22:17:00,2017-04-05 18:25:00,2017-04-09 00:00:00,6.85,963189,0
57,"MI-FM1-49",86,24.7,0.3,0.64,2.79,1.17,1.44,3.1,2.2,615.2,176.7,2.15,4.58,19.96,8.37,10.3,22.1,15.38,114583,"NA","NA","NA","NA","NA","NA","NA",2017-05-01 00:42:00,2017-05-01 21:00:00,2017-04-30 23:15:00,2017-05-02 03:00:00,2.93,114583,0
58,"MI-FM1-50",59,56,0.2,0.06,1.38,0.5,0.733,1.6,1.3,32.4,30.8,0.11,0.03,0.76,0.28,0.4,0.87,0.73,8804,"NA","NA","NA","NA","NA","NA","NA",2017-05-04 17:53:00,2017-05-05 02:01:00,2017-05-04 17:30:00,2017-05-05 04:30:00,0.45,8804,0
