"unique_storm_number","sub_storms","suspended_sediment_mg_L","chloride_mg_L","no2_no3_n_mg_L","ammonium_n_mg_L","tkn_unfiltered_mg_L","orthophosphate_mg_L","total_phosphorus_unfiltered_mg_L","total_nitrogen_computed_mg_L","organic_nitrogen_computed_mg_L","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","suspended_sediment_flag","chloride_flag","no2_no3_flag","ammonium_n_flag","tkn_unfiltered_flag","orthophosphate_flag","total_phosphorus_unfiltered_flag","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen","stormnum","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","ant_discharge_date","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max","sin_sdate","cos_sdate","tmax","tmin","snwd_diff","SOIL_Moist_perc","SOIL_Temp_F","days_since_planting","days_since_fertilizer","days_since_cultivation","days_since_disturbance"
31,"MI-FM1-28",36,14.1,1.1,0.02,0.95,0.07,0.19,2.1,0.9,512.7,200.8,15.67,0.28,13.53,1.01,2.71,29.2,13.24,228128,NA,NA,NA,NA,NA,NA,NA,"2016-02-28 16:53:00","2016-02-29 21:34:00","2016-02-28 16:00:00","2016-03-01 08:01:00",3.84,228128,0,21,"2016-02-28 17:00:00","2016-02-28 22:40:00",0.24,5.66666666666667,0.0423529411764706,0.36,0.3,0.32,0.26,0.19,133.43139836238,0.346921635742189,152.855786304756,0.397425044392365,0,0,0,0,"2016-02-14 16:00:00",61.2,35.055,61.2,26.05,61.2,16.4085714285714,61.2,14.0692857142857,61.2,0.849817091527526,0.527077708642376,14.4,-5.5,-7.87402,36.6419560166667,34.46720949,30,286,115,10
32,"MI-FM1-29",24,8.5,0.6,0.03,0.75,0.06,0.169,1.4,0.7,178.93,63.4,4.47,0.22,5.59,0.42,1.26,10.06,5.37,119423,NA,NA,NA,NA,NA,NA,NA,"2016-03-07 17:13:00","2016-03-08 20:36:00","2016-03-07 15:45:00","2016-03-09 07:45:00",1.46,119423,0,22,"2016-03-07 16:45:00","2016-03-07 16:46:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,"2016-02-22 15:45:00",49.8,33.7,49.8,29.0666666666667,49.8,34.9142857142857,65.9,37.6828571428571,180,0.914127988185333,0.405425728359998,22.2,5,-7.086618,36.4979166666667,35.7812303233333,30,294,123,10
33,"MI-FM1-30",189,8,0.05,0.03,1.77,0.06,0.772,1.9,1.7,24.81,1.1,0.01,0.005,0.23,0.01,0.1,0.25,0.23,2103,NA,NA,"<",NA,NA,NA,NA,"2016-03-14 00:31:00","2016-03-14 03:31:00","2016-03-13 23:45:00","2016-03-14 10:15:00",0.13,2103,0,23,"2016-03-13 23:45:00","2016-03-13 23:46:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2016-02-28 22:45:00",32.8,31,32.8,32.5,35.5,54.5714285714286,122,54.0428571428571,180,0.956234826591905,0.29260033563335,13.9,6.1,0,36.515711805,42.9494158,30,300,129,10
34,"MI-FM1-31",107,9.9,0.05,0.04,1.55,0.06,0.534,1.7,1.5,771.85,71.4,0.72,0.29,11.18,0.42,3.85,11.9,10.89,115550,NA,NA,"<",NA,NA,NA,NA,"2016-03-24 13:47:00","2016-03-25 12:43:00","2016-03-24 13:30:00","2016-03-25 20:00:00",2.6,115550,0,24,"2016-03-24 08:55:00","2016-03-24 21:55:00",0.81,13,0.0623076923076923,0.84,0.6,0.44,0.26,0.22,477.148562994717,1.24058626378626,534.694299022942,1.39020517745965,0,0,0,0,"2016-03-10 12:30:00",97.5,56,97.5,42.0333333333333,97.5,28.5285714285714,97.5,32.5071428571429,97.5,0.992222209417932,0.124479263886793,7.8,-1.6,0,37.181163195,39.68824392,30,311,140,10
35,"MI-FM1-32*",363,8.6,0.05,0.04,2.83,0.04,0.997,2.9,2.8,2901.23,68.7,0.8,0.32,22.62,0.3,7.97,23.42,22.3,128025,NA,NA,"<",NA,NA,NA,NA,"2016-03-28 06:39:00","2016-03-29 01:30:00","2016-03-28 04:30:00","2016-03-29 13:00:00",2.93,128025,0,25,"2016-03-27 20:05:00","2016-03-28 09:20:00",1.1,13.25,0.0830188679245283,0.48,0.36,0.36,0.32,0.21,606.856546103926,1.94194094753256,702.845528373588,2.24910569079548,0,0,0.81,0.81,"2016-03-14 04:30:00",145,88.85,145,73.7666666666667,145,62.0714285714286,145,43.2357142857143,145,0.998435421155564,0.0559169901006051,11.7,-0.5,0,37.477864585,43.88871875,30,315,144,10
36,"MI-FM1-33",536,6.8,0.05,0.03,2.89,0.04,1.1,3,2.9,4998.27,63.4,0.93,0.28,26.95,0.33,10.26,27.88,26.67,149374,NA,NA,"<",NA,NA,NA,NA,"2016-03-31 14:01:00","2016-04-01 11:20:00","2016-03-31 09:00:00","2016-04-01 22:00:00",3.5,149374,0,26,"2016-03-31 00:45:00","2016-03-31 18:30:00",0.92,17.75,0.051830985915493,1.68,1.44,1.16,0.66,0.43,600.253195432532,3.96167108985471,627.839679267736,4.14374188316705,0,0,1.91,1.91,"2016-03-17 09:00:00",94.6,70.4,94.6,73.3333333333333,94.6,75.4857142857143,145,52.0071428571429,145,0.99999073973619,0.00430353829624771,18.3,3.3,0,37.62282986,46.43082205,30,318,147,10
37,"MI-FM1-34",26,7.2,0.05,0.3,0.91,0.03,0.158,1,0.6,164.34,45.5,0.63,1.9,5.75,0.19,1,6.38,3.86,101250,NA,NA,"<",NA,NA,NA,NA,"2016-04-11 01:32:00","2016-04-12 04:15:00","2016-04-11 01:00:00","2016-04-12 04:15:00",2.32,101250,0,27,"2016-04-10 16:55:00","2016-04-11 02:55:00",0.77,10,0.077,0.36,0.3,0.28,0.26,0.21,402.632550438398,1.04684463113983,480.187565959243,1.24848767149403,0,0,0,2.02,"2016-03-28 01:00:00",135,83,135,64.4333333333333,135,47.4428571428571,135,56.5428571428571,135,0.982926551979983,-0.183998351657678,15,0.6,0,38.09947917,38.07005469,30,329,158,10
38,"MI-FM1-35",138,8.2,0.2,0.13,2.63,0.17,0.784,2.8,2.5,3.2,0.2,0.005,0.005,0.06,5e-04,0.02,0.07,0.06,374,NA,NA,NA,NA,NA,NA,NA,"2016-11-29 05:04:00","2016-11-29 07:06:00","2016-11-29 03:45:00","2016-11-29 09:15:00",0.04,374,0,28,"2016-11-29 04:45:00","2016-11-29 04:46:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2016-11-15 03:45:00",37.2,23.325,37.2,19.0166666666667,37.2,15.2014285714286,37.2,8.98428571428571,37.2,-0.508670943852107,0.860961015888993,14.4,8.3,0,35.49513889,42.13115972,30,35,35,10
39,"MI-FM1-36",23,4.1,0.5,0.12,1.07,0.08,0.235,1.6,1,100.9,18,2.19,0.53,4.69,0.35,1.03,6.89,4.17,70266,NA,NA,NA,NA,NA,NA,NA,"2016-12-26 12:03:00","2016-12-26 21:42:00","2016-12-26 11:30:00","2016-12-27 06:30:00",3.1,70266,0,29,"2016-12-26 10:55:00","2016-12-26 13:45:00",0.03,2.83333333333333,0.0105882352941176,0.12,0.06,0.04,0.02,0.01,11.2132886319442,0.00224265772638884,10.2107332866247,0.00204214665732495,0,0,0,0,"2016-12-12 11:30:00",113,62.5,113,43.0333333333333,113,20,113,11.3785714285714,113,-0.0688024268023225,0.997630305306585,13.3,-2.7,-3.149608,37.373177085,34.9652066,30,62,62,10
40,"MI-FM1-37",72,5.7,0.4,0.04,2.53,0.08,0.796,2.9,2.5,41.2,3.3,0.23,0.02,1.45,0.05,0.46,1.68,1.42,9160,NA,NA,NA,NA,NA,NA,NA,"2017-01-03 04:17:00","2017-01-03 23:57:00","2017-01-03 04:00:00","2017-01-04 05:15:00",0.28,9160,0,30,"2017-01-02 19:10:00","2017-01-03 18:00:00",0.72,22.8333333333333,0.0315328467153285,0.36,0.3,0.24,0.2,0.16,361.966208308588,0.723932416617175,420.133335944163,0.840266671888325,0,0,0,0.03,"2016-12-20 04:00:00",68,37.74,68,28.0366666666667,68,22.4157142857143,68,27.1078571428571,113,0.0688024268023165,0.997630305306586,5,-10,0,36.16050347,35.07636024,30,70,70,10
